Company ID,Seed Date,Seed Investor IDs,Seed Investors
43431-94,08/27/2008,10444-24,Investor 373
43642-36,10/06/2009,104140-63,Investor 358
43643-08,02/01/2010,10139-41,Investor 161
43652-98,07/06/2009,105949-99,Investor 611
44067-61,07/08/2010,10181-17,Investor 196
44068-06,05/03/2011,10123-03;10506-97,Investor 151;Investor 419
44068-51,12/15/2009,10134-73,Investor 156
44068-78,09/01/2009,105980-23;106036-75;106092-64,Investor 664;Investor 747;Investor 830
44069-23,07/06/2010,105916-06;106052-68;106123-24,Investor 562;Investor 773;Investor 884
44459-83,04/05/2007,10302-76,Investor 273
44459-92,01/25/2010,10123-03;105847-84;106007-68;106081-12,Investor 151;Investor 470;Investor 699;Investor 812
44791-21,07/21/2008,10022-14;10357-03;106102-00,Investor 23;Investor 307;Investor 848
44794-00,09/23/2010,106072-21,Investor 804
44794-54,07/21/2009,105950-17,Investor 612
44795-17,07/13/2010,10139-41,Investor 161
45247-78,07/14/2010,106119-28,Investor 879
45248-14,01/01/2010,105945-22,Investor 604
45248-32,07/14/2010,106124-86,Investor 887
45284-86,02/07/2007,10109-26,Investor 141
45710-11,03/30/2009,106104-88,Investor 855
45710-29,06/23/2009,105949-45,Investor 610
45723-43,07/12/2010,10228-51,Investor 225
46192-24,07/20/2010,10135-81,Investor 157
46487-62,11/05/2007,10385-20,Investor 325
46487-80,08/11/2014,10404-28,Investor 349
46488-25,07/21/2010,105883-84;106033-87;106104-88,Investor 517;Investor 740;Investor 855
46778-95,02/22/2012,10366-57,Investor 313
46779-22,01/29/2010,105918-31;106033-87;106070-32,Investor 564;Investor 740;Investor 799
47292-13,06/22/2007,10215-64,Investor 215
47448-64,12/18/2009,10446-40,Investor 376
47555-11,01/27/2009,10146-16,Investor 167
47555-65,07/02/2010,10042-21,Investor 54
47660-41,07/28/2010,10364-77;10382-32,Investor 311;Investor 322
47661-40,08/30/2007,10241-02,Investor 240
47662-84,07/18/2008,106014-88,Investor 710
48175-57,07/26/2010,10068-04,Investor 98
48177-01,07/26/2010,10133-20;10134-73;105967-00;106092-64;106128-19,Investor 155;Investor 156;Investor 639;Investor 830;Investor 894
48550-60,06/29/2009,105894-55;105945-22;106054-39;106116-76,Investor 539;Investor 604;Investor 776;Investor 871
48551-41,08/16/2007,10133-20,Investor 155
48702-61,08/02/2010,10133-20;105847-84;105884-65;105947-47;105976-18;106008-13;106021-81;106029-64;106054-30;106060-33;106070-32;106076-35;106081-12,Investor 155;Investor 470;Investor 520;Investor 606;Investor 656;Investor 700;Investor 725;Investor 736;Investor 775;Investor 785;Investor 799;Investor 809;Investor 812
49063-96,10/10/2008,10134-73,Investor 156
49064-05,05/04/2011,105927-94;105976-18;106070-32;106124-86,Investor 575;Investor 656;Investor 799;Investor 887
49064-14,01/18/2011,10109-26;106060-33;106104-88,Investor 141;Investor 785;Investor 855
49064-77,06/27/2007,10135-81,Investor 157
49065-58,10/06/2011,105990-40,Investor 677
49065-76,11/10/2010,105893-83;105976-18,Investor 537;Investor 656
49067-20,06/16/2009,10133-20,Investor 155
49310-74,08/03/2010,105976-18;106081-12;106104-43,Investor 656;Investor 812;Investor 852
49312-54,03/21/2011,106107-22;106113-43;106123-24,Investor 858;Investor 865;Investor 884
49312-81,04/26/2012,10322-83,Investor 283
49777-39,08/04/2010,106113-43,Investor 865
49778-74,12/01/2008,10052-20,Investor 69
50836-60,08/12/2010,105854-23;106081-12,Investor 481;Investor 812
50838-04,02/19/2009,10020-07,Investor 19
50838-67,02/16/2011,10463-23,Investor 389
50844-52,12/24/2009,105948-01;105976-18;106019-47;106054-30;106104-88;106122-79,Investor 607;Investor 656;Investor 718;Investor 775;Investor 855;Investor 883
50847-67,03/24/2010,10588-96,Investor 529
50848-66,08/01/2008,10133-20;106128-19,Investor 155;Investor 894
50848-93,08/16/2010,10133-20,Investor 155
50857-03,08/22/2007,10133-20,Investor 155
50857-75,08/20/2010,105883-84;105929-20;105976-18;105986-62;106036-75,Investor 517;Investor 580;Investor 656;Investor 672;Investor 747
50877-91,08/25/2010,105929-56,Investor 581
50878-18,03/27/2008,10135-81,Investor 157
50879-89,09/19/2007,10215-64;105975-37,Investor 215;Investor 655
50880-34,08/19/2010,105949-99,Investor 611
50883-49,08/20/2010,106047-73,Investor 765
50885-47,02/05/2007,10444-24,Investor 373
50886-37,06/17/2009,106104-88,Investor 855
50889-70,01/01/2009,105893-83,Investor 537
50894-02,08/24/2010,10052-20,Investor 69
50894-65,08/23/2010,105880-24;105939-37;106053-40;106093-90,Investor 512;Investor 594;Investor 774;Investor 834
50900-50,12/03/2009,105872-14;106002-10;106021-09;106043-77;106067-89;106091-65;106104-88;106116-94,Investor 501;Investor 691;Investor 724;Investor 759;Investor 795;Investor 828;Investor 855;Investor 872
50904-28,08/27/2010,10133-20;105893-83;105916-06;105976-18;106054-39;106124-86,Investor 155;Investor 537;Investor 562;Investor 656;Investor 776;Investor 887
50909-50,08/25/2010,105952-33;106013-53;106113-43,Investor 615;Investor 707;Investor 865
50914-63,08/30/2010,10123-03,Investor 151
50915-08,09/07/2010,10013-32,Investor 7
50920-12,07/13/2011,10135-81,Investor 157
50922-91,08/31/2010,10146-16,Investor 167
50925-61,09/01/2010,105847-84;105859-09;106007-68;106013-53;106091-65,Investor 470;Investor 488;Investor 699;Investor 707;Investor 828
50927-41,12/22/2010,106072-21,Investor 804
50938-66,09/01/2010,105913-27;106014-88;106067-89;106070-32;106107-22,Investor 557;Investor 710;Investor 795;Investor 799;Investor 858
50941-36,06/04/2009,10037-80,Investor 50
50945-32,04/27/2009,10163-71,Investor 180
50955-76,07/15/2009,10228-51,Investor 225
50958-91,05/01/2009,105921-46,Investor 569
50962-24,05/31/2009,105916-06,Investor 562
50965-93,09/26/2007,10241-02,Investor 240
50970-25,05/01/2007,10179-01;106104-88,Investor 195;Investor 855
50972-59,01/01/2010,105848-38;105893-83;105894-55;105901-66;105924-61;105927-94;105929-20;105983-38;105986-71;105999-22;106015-96;106039-72;106041-70;106053-40;106069-96;106091-65;106092-64;106093-90;106123-24,Investor 471;Investor 537;Investor 539;Investor 546;Investor 572;Investor 575;Investor 580;Investor 666;Investor 673;Investor 686;Investor 713;Investor 751;Investor 755;Investor 774;Investor 798;Investor 828;Investor 830;Investor 834;Investor 884
50981-95,01/06/2010,105893-83;106049-26;106052-23,Investor 537;Investor 768;Investor 772
50982-22,01/31/2007,105986-71,Investor 673
50982-94,10/10/2008,106009-93;106036-12,Investor 703;Investor 744
50984-92,04/01/2008,10228-51;10241-02,Investor 225;Investor 240
50985-01,06/17/2010,10228-51;10241-02,Investor 225;Investor 240
50987-26,04/01/2009,10077-85;106013-53,Investor 115;Investor 707
50995-81,02/21/2008,10043-83,Investor 56
50996-98,09/17/2010,106070-32;106113-43,Investor 799;Investor 865
51000-31,04/14/2011,10052-20,Investor 69
51000-67,05/10/2010,106009-93;106070-32,Investor 703;Investor 799
51002-83,09/20/2010,10156-69,Investor 174
51003-28,09/15/2010,10139-41;105848-92;105927-94;105967-00;105977-62;106035-94;106036-75;106048-18;106053-40;106070-77;106092-19;106119-46;106128-19,Investor 161;Investor 473;Investor 575;Investor 639;Investor 659;Investor 743;Investor 747;Investor 767;Investor 774;Investor 801;Investor 829;Investor 880;Investor 894
51006-61,05/07/2010,10123-03;10139-41;105927-94;106060-33,Investor 151;Investor 161;Investor 575;Investor 785
51006-88,10/15/2011,105864-94;105869-08;105876-64;105880-24;105893-83;105947-47;105974-65;105983-47;106009-93;106029-55;106035-94;106081-12;106091-56;106092-64;106113-34;106124-41,Investor 496;Investor 497;Investor 508;Investor 512;Investor 537;Investor 606;Investor 653;Investor 667;Investor 703;Investor 735;Investor 743;Investor 812;Investor 827;Investor 830;Investor 864;Investor 886
51010-39,12/12/2009,10047-34,Investor 63
51010-75,01/01/2008,105884-65;105891-31;105949-45;105967-00;105976-18;106054-39;106060-60;106113-34;106128-19,Investor 520;Investor 535;Investor 610;Investor 639;Investor 656;Investor 776;Investor 786;Investor 864;Investor 894
51020-92,01/09/2007,10123-03,Investor 151
51025-15,09/16/2010,10135-81,Investor 157
51025-33,09/23/2008,10052-20,Investor 69
51029-92,12/09/2010,105983-02,Investor 665
51040-72,10/25/2008,105945-22;106049-26,Investor 604;Investor 768
51043-42,03/03/2008,10134-73,Investor 156
51044-14,02/02/2012,10215-64,Investor 215
51057-46,09/28/2010,105955-84;106049-26;106070-32;106072-21;106099-03;106113-43,Investor 622;Investor 768;Investor 799;Investor 804;Investor 842;Investor 865
51069-34,09/30/2010,10075-78,Investor 112
51071-77,02/29/2008,106030-63;106104-88,Investor 737;Investor 855
51073-39,10/05/2010,105891-13;106081-66,Investor 534;Investor 813
51074-29,05/10/2007,10068-04,Investor 98
51074-74,09/29/2010,10181-17,Investor 196
51081-31,02/07/2011,105857-20;105930-91;105972-94;106015-96;106033-87;106035-94;106045-12;106054-30;106122-79,Investor 484;Investor 583;Investor 650;Investor 713;Investor 740;Investor 743;Investor 760;Investor 775;Investor 883
51081-40,05/22/2007,105950-17,Investor 612
51090-94,12/10/2011,105862-33;105929-20;105976-18;105985-63;105986-62;106019-74;106038-10;106045-12;106057-18;106076-35;106101-28;106118-74;106123-24;106124-41;106126-84,Investor 491;Investor 580;Investor 656;Investor 671;Investor 672;Investor 719;Investor 749;Investor 760;Investor 781;Investor 809;Investor 845;Investor 878;Investor 884;Investor 886;Investor 893
51113-89,10/13/2010,10581-22,Investor 457
51114-52,10/13/2010,10136-62;10521-46,Investor 158;Investor 423
51119-47,09/19/2008,10052-20,Investor 69
51121-36,01/27/2010,10446-40,Investor 376
51121-72,10/10/2007,10052-20,Investor 69
51121-81,02/25/2015,10242-91,Investor 245
51121-99,04/07/2008,10446-40;10602-46,Investor 376;Investor 730
51122-80,01/01/2010,105857-20;106015-42;106019-74;106054-30;106067-89;106097-68;106122-79,Investor 484;Investor 712;Investor 719;Investor 775;Investor 795;Investor 839;Investor 883
51123-61,06/23/2009,10250-29,Investor 255
51127-39,03/29/2007,10463-23,Investor 389
51127-75,10/16/2008,10109-26,Investor 141
51128-20,12/17/2008,10446-40,Investor 376
51129-91,10/30/2007,10043-83,Investor 56
51130-99,01/01/2009,10228-51;10241-02,Investor 225;Investor 240
51136-75,02/14/2011,105847-84;105853-51;105883-84;105884-65;105939-37;105943-87;105983-38;106036-75;106060-33;106060-60;106128-19,Investor 470;Investor 480;Investor 517;Investor 520;Investor 594;Investor 602;Investor 666;Investor 747;Investor 785;Investor 786;Investor 894
51140-44,08/05/2008,106054-39;106104-88,Investor 776;Investor 855
51145-39,09/01/2007,10139-41;105880-24;105884-29;105894-55;105901-66;105927-94,Investor 161;Investor 512;Investor 518;Investor 539;Investor 546;Investor 575
51145-57,04/01/2007,105945-22,Investor 604
51146-92,12/24/2008,10139-41;105991-75,Investor 161;Investor 678
51147-37,10/14/2007,105847-12;105939-37;106069-96;106070-77;106093-90;106111-63,Investor 469;Investor 594;Investor 798;Investor 801;Investor 834;Investor 861
51147-64,01/24/2008,10459-81,Investor 385
51148-18,09/24/2007,105856-66;105955-84;105983-02;106014-88;106062-40;106099-03;106104-88,Investor 482;Investor 622;Investor 665;Investor 710;Investor 788;Investor 842;Investor 855
51148-90,10/26/2009,105872-14;105928-75;106067-89;106104-88,Investor 501;Investor 579;Investor 795;Investor 855
51149-53,06/01/2009,105945-22;106124-86;106128-19,Investor 604;Investor 887;Investor 894
51155-02,07/08/2009,106128-19,Investor 894
51155-11,02/10/2009,105924-61;106011-46;106049-26,Investor 572;Investor 705;Investor 768
51161-86,10/23/2008,105988-60,Investor 674
51164-83,05/03/2010,106031-62,Investor 738
51165-10,03/08/2012,10133-20;105916-06;106067-89,Investor 155;Investor 562;Investor 795
51165-19,06/23/2009,105928-75;105955-84;106014-88;106099-03,Investor 579;Investor 622;Investor 710;Investor 842
51169-33,04/13/2015,10161-37,Investor 178
51180-67,10/15/2007,10052-20,Investor 69
51188-32,03/31/2008,10133-20,Investor 155
51192-01,10/22/2010,10133-20;105862-33;106015-06;106068-25,Investor 155;Investor 491;Investor 711;Investor 796
51196-51,03/16/2009,10139-41;105942-43;105983-65;106092-64,Investor 161;Investor 600;Investor 668;Investor 830
51201-19,10/27/2010,105847-84,Investor 470
51201-28,10/27/2010,105943-87,Investor 602
51203-26,10/20/2010,106098-04,Investor 841
51205-06,10/28/2010,10134-73;10195-75,Investor 156;Investor 211
51206-05,08/18/2011,10139-41;105851-98;105863-23;105907-15;105927-94;106060-33,Investor 161;Investor 478;Investor 493;Investor 553;Investor 575;Investor 785
51206-14,10/27/2010,105927-94;106123-24,Investor 575;Investor 884
51207-49,11/03/2009,105891-04,Investor 533
51207-94,08/16/2011,10139-41;106029-64,Investor 161;Investor 736
51213-16,05/18/2010,105984-19,Investor 670
51219-91,10/15/2008,10367-47,Investor 314
51222-43,01/09/2007,106116-94,Investor 872
51223-33,04/24/2007,106030-63;106104-88;106111-63,Investor 737;Investor 855;Investor 861
51224-14,07/21/2008,105901-66;105950-17;106008-13;106036-12;106111-63,Investor 546;Investor 612;Investor 700;Investor 744;Investor 861
51225-22,11/03/2010,10146-16,Investor 167
51225-40,11/03/2010,10134-73,Investor 156
51228-55,06/19/2007,10134-73,Investor 156
51228-82,04/15/2007,105955-03;105983-65;106039-72;106104-88;106124-86,Investor 620;Investor 668;Investor 751;Investor 855;Investor 887
51229-90,08/27/2009,106049-26;106072-21,Investor 768;Investor 804
51230-71,07/01/2007,106104-88,Investor 855
51232-87,05/03/2015,106072-21,Investor 804
51237-46,11/04/2010,10052-20,Investor 69
51238-36,05/01/2008,106049-71,Investor 769
51239-53,11/03/2010,10139-41;106029-28,Investor 161;Investor 734
51240-88,01/07/2008,106072-21,Investor 804
51241-78,03/01/2007,106062-40,Investor 788
51242-23,07/16/2007,105976-18;106015-42;106072-21,Investor 656;Investor 712;Investor 804
51242-41,08/08/2007,10382-32,Investor 322
51242-86,12/01/2007,106076-35,Investor 809
51243-85,02/23/2012,10331-11,Investor 291
51244-66,01/14/2010,10144-09;10242-91,Investor 166;Investor 245
51245-11,04/02/2007,10463-23,Investor 389
51247-99,08/14/2009,105928-30;106104-88,Investor 578;Investor 855
51248-08,07/01/2012,106113-34,Investor 864
51248-80,11/01/2007,106052-68,Investor 773
51251-68,11/09/2010,105986-62;106011-46;106128-19,Investor 672;Investor 705;Investor 894
51251-95,03/13/2008,106035-13,Investor 742
51252-40,09/09/2009,10322-83,Investor 283
51252-67,09/12/2008,105901-66,Investor 546
51252-85,07/25/2008,10139-41;10382-32,Investor 161;Investor 322
51252-94,07/18/2007,10123-03,Investor 151
51253-12,11/03/2010,105928-21;105940-36;105976-18;106128-19,Investor 577;Investor 596;Investor 656;Investor 894
51255-46,02/20/2007,10052-20;105965-56;106104-88;106124-86,Investor 69;Investor 637;Investor 855;Investor 887
51257-80,04/12/2010,105851-98,Investor 478
51258-07,03/01/2009,10134-73;105893-83,Investor 156;Investor 537
51260-86,11/11/2010,105943-87;106092-64,Investor 602;Investor 830
51261-04,08/01/2008,10052-20;105847-12;106039-72;106047-64;106081-66,Investor 69;Investor 469;Investor 751;Investor 764;Investor 813
51261-22,02/11/2008,10052-20,Investor 69
51261-67,04/01/2009,105847-12;105894-55;105927-94;105983-38;106041-70;106093-90,Investor 469;Investor 539;Investor 575;Investor 666;Investor 755;Investor 834
51262-03,02/03/2010,10139-41;10181-17;106067-89,Investor 161;Investor 196;Investor 795
51265-90,09/23/2008,106081-12,Investor 812
51269-95,10/19/2007,105848-56;106008-13;106060-33,Investor 472;Investor 700;Investor 785
51270-13,11/11/2010,105915-97;106015-42,Investor 561;Investor 712
51274-09,11/16/2010,10134-73,Investor 156
51276-97,06/03/2010,106038-10,Investor 749
51277-60,11/11/2010,105924-25,Investor 571
51283-54,01/01/2010,10052-20;105857-20;105893-83;105924-61;105930-91;106007-68;106033-87;106041-70;106054-30;106067-89;106104-88;106122-79;106128-19,Investor 69;Investor 484;Investor 537;Investor 572;Investor 583;Investor 699;Investor 740;Investor 755;Investor 775;Investor 795;Investor 855;Investor 883;Investor 894
51289-75,11/18/2010,105535-18;105955-84;105977-62;106035-94;106128-19,Investor 436;Investor 622;Investor 659;Investor 743;Investor 894
51292-99,11/01/2007,10228-51,Investor 225
51293-98,11/22/2010,10074-61,Investor 108
51298-48,11/17/2010,105967-00;105983-38;106019-47;106041-70;106053-40;106093-90;106104-88;106119-46;106128-19,Investor 639;Investor 666;Investor 718;Investor 755;Investor 774;Investor 834;Investor 855;Investor 880;Investor 894
51300-01,08/30/2010,105901-66;106012-27;106092-64,Investor 546;Investor 706;Investor 830
51300-28,11/22/2010,106029-28;106037-38,Investor 734;Investor 748
51300-55,11/22/2010,10139-41,Investor 161
51300-82,06/01/2008,10364-77,Investor 311
51301-72,10/11/2010,106104-88,Investor 855
51303-61,11/15/2010,106062-40;106093-90;106128-19,Investor 788;Investor 834;Investor 894
51303-97,03/01/2007,105957-10,Investor 625
51308-02,06/14/2007,10070-83,Investor 102
51308-74,11/23/2010,106104-88,Investor 855
51312-70,03/02/2009,10146-16,Investor 167
51315-94,05/01/2007,10241-02,Investor 240
51317-02,01/01/2010,10404-10,Investor 347
51317-29,03/20/2007,10241-02,Investor 240
51318-10,11/29/2010,105870-34,Investor 498
51321-43,06/25/2009,10241-02,Investor 240
51323-23,10/16/2009,10123-03,Investor 151
51325-93,11/24/2010,10446-40,Investor 376
51326-20,08/20/2007,105894-55;106116-76,Investor 539;Investor 871
51326-38,08/21/2009,10133-20,Investor 155
51332-86,12/01/2010,10445-23,Investor 374
51332-95,09/05/2008,105913-90;105983-38,Investor 559;Investor 666
51335-56,06/01/2009,10134-73;105874-30;105945-22;105980-23,Investor 156;Investor 505;Investor 604;Investor 664
51340-96,11/12/2008,10241-02,Investor 240
51343-03,10/11/2010,105862-33,Investor 491
51346-81,11/22/2010,10134-73;105863-23;105913-27;105918-31,Investor 156;Investor 493;Investor 557;Investor 564
51349-06,09/19/2012,10070-83,Investor 102
51349-78,03/19/2008,10228-51;10241-02,Investor 225;Investor 240
51352-21,12/03/2009,10146-16,Investor 167
51353-56,10/25/2007,10382-32;105913-27,Investor 322;Investor 557
51358-69,11/24/2009,10134-73;105847-12;105872-14;105901-66;105930-91;105983-65;106008-13;106069-96;106093-90,Investor 156;Investor 469;Investor 501;Investor 546;Investor 583;Investor 668;Investor 700;Investor 798;Investor 834
51359-68,09/24/2009,10123-03;10466-65,Investor 151;Investor 392
51364-00,04/22/2008,10139-41;105991-75,Investor 161;Investor 678
51364-54,12/06/2010,10146-16,Investor 167
51366-79,06/02/2011,105904-27,Investor 550
51367-15,04/01/2012,10139-41,Investor 161
51367-24,05/06/2009,10133-20;105972-22,Investor 155;Investor 648
51369-13,02/03/2010,105874-30;105918-31;106036-12;106040-71;106054-39;106116-94,Investor 505;Investor 564;Investor 744;Investor 753;Investor 776;Investor 872
51369-49,10/21/2008,10322-83,Investor 283
51370-48,05/09/2008,106007-68,Investor 699
51374-98,04/01/2015,10022-14,Investor 23
51376-87,10/29/2009,106128-19,Investor 894
51377-59,10/15/2013,10191-52,Investor 208
51385-96,08/27/2009,104140-63,Investor 358
51391-00,11/01/2009,106020-64,Investor 722
51391-09,06/30/2010,105888-52;105952-60;105992-92;106049-26;106053-40;106113-43,Investor 528;Investor 616;Investor 680;Investor 768;Investor 774;Investor 865
51394-15,06/12/2012,10094-14,Investor 127
51396-22,12/15/2010,106015-42,Investor 712
51401-17,09/04/2009,105999-40,Investor 687
51401-26,10/29/2008,105888-52,Investor 528
51405-13,12/21/2010,106047-64;106093-90,Investor 764;Investor 834
51409-36,12/17/2010,106126-75,Investor 892
51410-89,03/23/2011,10052-20;10146-16;105891-31;105949-45;105965-56,Investor 69;Investor 167;Investor 535;Investor 610;Investor 637
51414-22,12/22/2009,106008-13;106009-93,Investor 700;Investor 703
51416-20,01/01/2010,106053-40;106124-41,Investor 774;Investor 886
51416-29,05/14/2010,105928-30;106053-40;106067-89,Investor 578;Investor 774;Investor 795
51420-07,12/21/2009,105847-12;106007-68,Investor 469;Investor 699
51425-38,09/23/2009,105897-52,Investor 542
51426-37,08/25/2008,10133-20,Investor 155
51428-89,12/21/2010,106060-33,Investor 785
51429-43,12/28/2011,105929-56,Investor 581
51432-13,07/22/2008,10453-33;106072-21,Investor 380;Investor 804
51442-21,09/14/2010,105941-53,Investor 598
51447-79,01/04/2011,106104-88,Investor 855
51447-88,11/21/2013,10144-09,Investor 166
51450-49,01/05/2011,10146-16,Investor 167
51452-29,06/10/2014,10241-02,Investor 240
51452-47,04/14/2010,105955-84,Investor 622
51452-56,07/09/2009,106107-22,Investor 858
51453-73,04/29/2010,106035-94,Investor 743
51457-87,05/31/2009,105927-94,Investor 575
51458-05,06/02/2010,105950-17;106069-96,Investor 612;Investor 798
51458-32,07/01/2010,105906-52;106115-59,Investor 552;Investor 868
51458-50,11/19/2009,106034-59,Investor 741
51466-78,07/12/2011,10376-38,Investor 318
51467-59,04/19/2010,105971-68;105986-62;106009-48;106031-62;106037-38;106040-71;106054-39;106067-17;106097-68;106099-03;106123-24,Investor 646;Investor 672;Investor 702;Investor 738;Investor 748;Investor 753;Investor 776;Investor 793;Investor 839;Investor 842;Investor 884
51470-02,01/10/2011,106025-23,Investor 731
51471-82,01/10/2011,105927-94,Investor 575
51472-27,12/01/2010,106036-75,Investor 747
51473-53,03/04/2010,105872-14;105916-06;105927-94;106007-68;106124-86,Investor 501;Investor 562;Investor 575;Investor 699;Investor 887
51480-55,01/11/2011,10139-41;104140-63;105883-84,Investor 161;Investor 358;Investor 517
51480-64,12/03/2010,106118-02,Investor 876
51486-67,04/23/2007,105847-12;106118-02,Investor 469;Investor 876
51486-85,08/09/2010,105976-18,Investor 656
51490-00,07/01/2008,106102-00,Investor 848
51495-58,02/24/2011,10331-11,Investor 291
51497-47,10/05/2007,10109-26;105939-37;106030-63,Investor 141;Investor 594;Investor 737
51500-71,01/11/2013,10022-14;10215-73,Investor 23;Investor 216
51504-85,05/07/2009,10133-20,Investor 155
51505-75,03/31/2011,105901-66;105997-24;106008-13;106041-70;106069-96;106093-90;106122-79,Investor 546;Investor 683;Investor 700;Investor 755;Investor 798;Investor 834;Investor 883
51511-69,02/25/2011,106126-75,Investor 892
51518-80,01/05/2010,10401-94;105976-18;105997-87;106007-68;106015-06;106060-33;106072-21;106123-24,Investor 344;Investor 656;Investor 684;Investor 699;Investor 711;Investor 785;Investor 804;Investor 884
51519-16,08/16/2013,10022-14;105961-15,Investor 23;Investor 630
51527-89,03/01/2008,105883-57;105894-55;106063-21;106116-76,Investor 516;Investor 539;Investor 789;Investor 871
51541-21,02/01/2008,105984-19,Investor 670
51542-02,12/16/2008,105927-94;105955-84;105967-00;106015-06;106031-62;106035-94;106036-12;106041-70;106049-26;106052-23;106099-03;106122-79,Investor 575;Investor 622;Investor 639;Investor 711;Investor 738;Investor 743;Investor 744;Investor 755;Investor 768;Investor 772;Investor 842;Investor 883
51542-56,08/27/2008,106037-38,Investor 748
51542-74,01/07/2010,10052-20;105883-84;106085-44,Investor 69;Investor 517;Investor 819
51543-01,05/20/2008,10139-41;105930-91;105945-22;106042-87;106104-88,Investor 161;Investor 583;Investor 604;Investor 757;Investor 855
51543-10,01/19/2010,10052-20;105891-31,Investor 69;Investor 535
51544-09,10/16/2007,105976-18,Investor 656
51544-81,11/14/2010,10382-32;105901-66;105910-30;105928-75;105985-63;105997-87;106007-68;106033-87;106035-13;106040-17;106052-23;106054-30;106060-33;106072-21;106092-64;106093-90;106124-86,Investor 322;Investor 546;Investor 556;Investor 579;Investor 671;Investor 684;Investor 699;Investor 740;Investor 742;Investor 752;Investor 772;Investor 775;Investor 785;Investor 804;Investor 830;Investor 834;Investor 887
51544-99,02/17/2008,105929-65;105984-19;106107-22,Investor 582;Investor 670;Investor 858
51545-26,01/21/2010,106008-13,Investor 700
51546-07,12/09/2008,105984-19,Investor 670
51546-16,07/27/2010,106036-12,Investor 744
51546-52,04/30/2009,10139-41,Investor 161
51546-61,05/10/2010,105886-27;106007-68;106085-44;106093-90,Investor 523;Investor 699;Investor 819;Investor 834
51546-88,04/12/2010,105847-84;106102-00,Investor 470;Investor 848
51547-24,11/17/2010,106052-23,Investor 772
51547-69,01/01/2010,10146-16;106098-04,Investor 167;Investor 841
51548-14,02/02/2011,106007-68;106124-86,Investor 699;Investor 887
51549-58,07/09/2009,106052-23;106124-86,Investor 772;Investor 887
51549-94,11/15/2007,105901-66;106036-12,Investor 546;Investor 744
51550-30,02/15/2007,105924-61;106052-23;106054-30,Investor 572;Investor 772;Investor 775
51550-75,02/01/2011,10133-20;105847-84;105927-94;106019-74,Investor 155;Investor 470;Investor 575;Investor 719
51552-55,02/02/2011,10133-20;105857-11;105927-94;105967-00;106114-06,Investor 155;Investor 483;Investor 575;Investor 639;Investor 866
51552-91,02/03/2011,105927-94,Investor 575
51554-53,11/19/2008,10232-83,Investor 230
51555-34,09/01/2007,105928-75,Investor 579
51555-97,09/30/2008,105894-01;106072-21;106104-88,Investor 538;Investor 804;Investor 855
51563-80,02/03/2011,105862-33;105880-24;105986-62;106118-74,Investor 491;Investor 512;Investor 672;Investor 878
51565-78,02/07/2011,10022-14,Investor 23
51567-49,09/18/2007,105921-46,Investor 569
51574-60,06/08/2010,105949-45,Investor 610
51574-78,02/09/2011,10049-14,Investor 66
51574-96,06/13/2008,10048-15,Investor 64
51581-08,10/09/2008,106029-28;106113-43,Investor 734;Investor 865
51588-91,03/27/2009,10139-41,Investor 161
51593-32,03/22/2010,105847-84,Investor 470
51593-68,07/23/2009,106008-13;106036-12;106049-26,Investor 700;Investor 744;Investor 768
51594-76,09/05/2008,105924-61;106104-88,Investor 572;Investor 855
51595-84,07/07/2010,10139-41,Investor 161
51597-55,02/16/2011,105942-43;106007-68;106054-30;106093-90;106104-88,Investor 600;Investor 699;Investor 775;Investor 834;Investor 855
51598-18,06/01/2010,105908-59;105955-84;106064-47;106099-03,Investor 554;Investor 622;Investor 792;Investor 842
51598-27,02/14/2011,106054-30;106093-90;106125-76,Investor 775;Investor 834;Investor 890
51600-16,04/15/2010,10146-16;105949-45,Investor 167;Investor 610
51601-51,10/24/2007,10123-03,Investor 151
51604-75,11/06/2009,106002-10;106067-17;106104-88,Investor 691;Investor 793;Investor 855
51605-20,07/16/2008,10123-03,Investor 151
51606-64,02/18/2011,105983-92,Investor 669
51609-34,02/17/2011,105924-61,Investor 572
51611-59,03/15/2011,10242-91,Investor 245
51614-02,02/20/2011,10123-03,Investor 151
51614-65,01/01/2013,105939-37;105976-18;106008-76;106012-27;106062-40;106097-68,Investor 594;Investor 656;Investor 701;Investor 706;Investor 788;Investor 839
51618-97,02/19/2011,105888-16;106011-46;106081-66,Investor 526;Investor 705;Investor 813
51619-06,01/08/2010,10393-84,Investor 335
51619-87,05/14/2008,10070-83,Investor 102
51623-65,05/10/2012,106047-73,Investor 765
51624-37,12/08/2009,10133-20,Investor 155
51632-65,09/28/2011,10042-21;10133-20;10181-17;105972-22;105999-22;106048-18,Investor 54;Investor 155;Investor 196;Investor 648;Investor 686;Investor 767
51638-68,01/23/2007,10052-20;10215-64,Investor 69;Investor 215
51638-95,01/01/2009,10215-73,Investor 216
51639-13,12/17/2009,10215-73,Investor 216
51639-58,01/27/2009,10215-73,Investor 216
51645-16,03/21/2007,10322-83,Investor 283
51645-52,03/18/2009,10077-85;10109-26,Investor 115;Investor 141
51646-06,03/03/2012,105921-64;105974-83;106070-32,Investor 570;Investor 654;Investor 799
51646-24,02/26/2011,105924-61,Investor 572
51647-59,03/02/2011,10437-94,Investor 370
51649-03,04/01/2011,106099-03,Investor 842
51649-84,08/11/2011,10123-03,Investor 151
