deal_id|company_id|deal_number|deal_date|deal_status|deal_size|last_updated
46010-17T|101401-84|1|01/07/2015|11||02/15/2017
57729-79T|101407-60|1|07/15/2014|11|0.03|02/15/2017
62188-66T|101409-31|1|03/14/2013|11|0.27|02/15/2017
55850-77T|101414-80|1|11/01/2014|11|0.5|02/15/2017
46211-77T|101418-22|1|11/12/2014|11||02/15/2017
61609-69T|101419-48|1|06/01/2015|11|5.35|02/15/2017
49318-66T|101423-35|2|01/01/2015|11|2.5|02/15/2017
55881-19T|101423-35|3|08/18/2016|11|5.37|02/15/2017
60890-23T|101424-07|1|05/08/2014|11|0.08|02/15/2017
62185-51T|101433-79|3|06/01/2015|11|0.2|02/15/2017
62016-67T|101434-69|4|11/17/2015|11||02/15/2017
55849-15T|101442-79|1|03/10/2014|11|0.28|02/15/2017
62167-24T|101444-32|2|01/20/2015|11|0.04|02/15/2017
62090-20T|101446-39|1|03/01/2012|11|0.7|02/15/2017
57808-45T|101454-31|1|06/01/2007|11|0.14|02/15/2017
55875-16T|101463-40|1|06/01/2014|11|0.3|02/15/2017
52708-51T|101476-72|1|04/03/2015|11|2.5|02/15/2017
58578-22T|101491-93|4|03/01/2015|11|0.5|02/15/2017
58102-75T|101494-18|2|03/23/2014|11|0.2|02/15/2017
46214-47T|101496-52|2|08/01/2014|11|0.01|02/15/2017
68788-27T|101501-47|1|04/30/2015|11|2.54|02/15/2017
61968-52T|101509-93|1|04/15/2014|11|0.05|02/15/2017
52780-33T|101519-74|1|01/14/2014|11|2.6|02/15/2017
65229-13T|101519-74|2|12/29/2015|12||02/15/2017
52860-07T|101525-50|1|03/03/2015|11|8.78|02/15/2017
54365-77T|101525-50|2|07/22/2015|11|30.0|02/15/2017
51613-84T|101526-04|1|01/01/2014|11||02/15/2017
52946-02T|101526-58|1|03/01/2014|11|0.32|02/15/2017
45770-95T|101532-34|1|05/04/2015|11|1.6|02/15/2017
57723-58T|101533-24|1|06/20/2014|11|0.03|02/15/2017
57342-34T|101533-78|1|02/20/2012|11|0.25|02/15/2017
69743-62T|101540-71|2|05/12/2015|11||02/15/2017
44559-46T|101542-42|1|02/12/2015|11|4.5|02/15/2017
49066-66T|101544-67|1|08/07/2014|11|0.25|02/15/2017
47505-88T|101546-65|1|07/29/2013|11|0.2|02/15/2017
67760-47T|101546-65|2|01/27/2017|11|3.06|02/15/2017
61869-61T|101559-52|1|05/19/2013|11||02/15/2017
57650-77T|101560-60|1|10/12/2013|11|0.03|02/15/2017
58572-37T|101570-32|1|05/30/2011|11|0.1|02/15/2017
53050-15T|101575-09|1|07/14/2014|11|2.0|02/15/2017
55028-80T|101575-45|1|07/01/2014|11|0.6|02/15/2017
62175-88T|101583-28|1|01/01/2014|11||02/15/2017
51613-93T|101583-37|1|06/05/2014|11|0.1|02/15/2017
60352-30T|101585-71|2|06/04/2014|11|1.0|02/15/2017
58316-23T|101589-76|1|11/01/2014|11|0.12|02/15/2017
57720-52T|101590-84|2|03/18/2015|11||02/15/2017
57463-66T|101597-68|2|09/15/2015|11|0.1|02/15/2017
58735-90T|101600-11|1|07/21/2013|11|0.15|02/15/2017
54280-72T|101602-99|1|10/30/2015|11|2.0|02/15/2017
78909-31T|101603-62|1|08/19/2014|11|0.45|02/15/2017
70125-94T|101607-13|3|05/11/2016|11|12.01|02/15/2017
54865-54T|101610-01|1|03/26/2014|11|2.0|02/15/2017
67305-43T|101610-01|4|02/04/2016|11|4.0|02/15/2017
58323-79T|101612-17|2|12/18/2013|11|0.1|02/15/2017
45654-85T|101613-43|1|11/20/2014|11|0.33|02/15/2017
69819-13T|101613-43|2|05/04/2016|11|1.1|02/15/2017
73727-56T|101636-11|3|08/03/2016|11|1.7|02/15/2017
52993-90T|101637-64|1|01/12/2014|11|0.14|02/15/2017
54891-73T|101650-69|1|01/31/2008|11|1.3|02/15/2017
54910-99T|101652-40|1|03/06/2013|11|0.75|02/15/2017
54911-08T|101652-40|2|07/10/2014|11|1.8|02/15/2017
51364-00T|101656-90|1|03/01/2015|11|0.17|02/15/2017
76672-36T|101656-90|2|08/30/2016|11|0.05|02/15/2017
66527-29T|101667-79|2|02/18/2016|11|1.25|02/15/2017
66054-07T|101668-06|1|04/18/2007|11|3.0|02/15/2017
54986-59T|101675-80|1|05/22/2015|11||02/15/2017
81064-72T|101675-80|2|01/12/2017|11|33.0|02/15/2017
54028-36T|101675-98|1|07/03/2013|11|1.0|02/15/2017
58439-98T|101677-15|2|02/06/2015|11|0.5|02/15/2017
69747-49T|101678-68|1|12/15/2015|11||02/15/2017
58333-96T|101684-71|1|01/01/2014|11|0.2|02/15/2017
47016-28T|101685-34|2|03/17/2015|11|1.5699999999999998|02/15/2017
46523-26T|101696-05|1|04/01/2014|11||02/15/2017
62212-96T|101697-94|2|12/01/2015|11|0.5|02/15/2017
59937-40T|101698-12|3|05/21/2008|11|1.0|02/15/2017
